Total Time,Init Time,Write to crypto stream,
2267621,2200031,30998,
2563544,2497708,29893,
2509115,2436116,35411,
2689354,2621089,31303,
2362869,2297053,30431,
6384383,6315537,28217,
2688165,2610154,33364,
7569109,7410198,68437,
4829287,4699701,56924,
5032294,4897599,60436,
4415386,4284912,54344,
5110396,4980543,56679,
2799607,2730276,32355,
2363590,2293265,31161,
3367954,3295381,28650,
3229135,3137087,38991,
2258432,2190363,29225,
2323099,2257506,29557,
2562859,2496905,31142,
2572232,2497423,31251,
3154725,3076591,36734,
3461031,3377420,36882,
2315137,2248101,31604,
4713099,4602963,48281,
3017776,2933151,42093,
4426839,4301826,53918,
2659532,2587993,33673,
4138784,4015966,53092,
2434586,2370825,27235,
4908241,4742101,79803,
2564322,2499725,27898,
3103515,3014845,44273,
6830827,6756652,32324,
3046035,2957083,44094,
2219912,2154480,29904,
2579658,2513540,28705,
2371029,2231870,29616,
2917820,2850225,29125,
3377649,3285303,41480,
4981935,4848233,62016,
2586457,2512035,34080,
6302733,6137897,63360,
5965576,5806023,62098,
2859176,2771638,45043,
4403868,4287000,52849,
4883777,4733586,58890,
3322682,3233077,40288,
3667940,3567468,46831,
2469387,2397292,36570,
2371753,2306742,28019,
2266609,2199295,30835,
2527987,2464787,28266,
2549503,2483127,30868,
2290527,2224265,30678,
3127739,3045755,36883,
2280962,2211285,32026,
7006389,6798759,98355,
4586559,4452021,61074,
2827423,2753059,35701,
3125743,3047256,36107,
14890923,14694327,72272,
5157464,5034313,55082,
3854868,3732619,58464,
2636386,2569391,30696,
2674873,2608948,29445,
2850812,2781832,32815,
2344821,2279923,29317,
2278653,2212649,30502,
2411559,2341735,30435,
2677636,2610771,31771,
2464432,2389465,30523,
5024244,4879883,71921,
4306801,4210015,46586,
2789029,2703546,44845,
2366983,2297083,30730,
3310913,3235491,38510,
3039696,2961671,34425,
3235039,3156230,35679,
3978861,3886268,46013,
4051221,3961690,35201,
2543214,2469951,34996,
2752555,2684957,27260,
2278506,2216036,28941,
2863945,2788635,29976,
2493869,2422972,33729,
2252487,2189165,28582,
3631858,3560248,31622,
7040428,6963719,31332,
2701101,2627645,36134,
2720117,2640955,39156,
2830225,2752584,38635,
5242443,5094851,66698,
5443517,5314777,51372,
4597818,4474178,52640,
5220278,5086571,53314,
3074035,2947447,35243,
4274314,4177268,50832,
2580215,2506694,31941,
2831785,2755119,39621,
2662600,2595807,29464,
2937205,2843402,48257,
2580749,2507499,36106,
2996045,2898325,49370,
2206014,2141445,28861,
2217329,2155743,26690,
4380848,4259377,56138,
3163695,3085928,35860,
4061328,3942912,51868,
4761197,4644506,46989,
4248711,4112242,63763,
2670413,2558566,33228,
2367264,2299867,31659,
3180278,3100756,39940,
2461375,2380726,41617,
2703226,2628940,35077,
7816401,7739283,32990,
3374648,3284328,46148,
2361376,2292521,30627,
2450618,2384963,29778,
2495257,2424686,30672,
7242608,7013767,125244,
5825450,5666917,62658,
4746907,4617514,58121,
4345390,4222648,53221,
4175366,4067923,46936,
3524761,3427653,45994,
2309667,2241240,31605,
2712777,2634715,35164,
3912533,3804732,48388,
3213600,3125874,39487,
2332448,2262572,33181,
3586298,3500882,39231,
3036525,2969559,32856,
2428991,2357462,32686,
2607529,2536978,33277,
3425782,3330858,45551,
4961612,4812322,69660,
4526198,4375676,72940,
5238342,5120545,53629,
6731838,6307448,327694,
2709795,2643516,29661,
2511077,2436182,31306,
12472034,12351109,45020,
2468922,2398731,33957,
2943717,2865557,36775,
2192877,2126662,30148,
2883478,2796073,40895,
3223532,3153012,30572,
2391505,2328975,29355,
2323608,2257716,29535,
2430506,2360214,31833,
3602239,3523770,37440,
5852416,5699922,63018,
7006407,6828648,67119,
5816246,5670351,66948,
2279622,2213922,30367,
2875283,2800744,34413,
4862764,4723529,53940,
4135999,4024150,52957,
2729475,2658229,33936,
2807882,2736248,33079,
2601010,2536527,28400,
2198964,2134914,29711,
3666779,3588595,34688,
2678670,2593962,42394,
2562860,2489495,37795,
4233812,4148217,36369,
2671705,2591539,37868,
3919549,3798525,46018,
4800053,4665525,63566,
7889286,7807611,33162,
2560087,2486696,33644,
3254128,3169148,36954,
3902640,3803379,46714,
4263166,4129552,62974,
3703671,3607433,44568,
2513701,2443911,31520,
3921213,3838289,34856,
2397212,2330217,30485,
3484924,3407172,38533,
2347898,2279538,32362,
2920676,2849973,31968,
2548981,2478652,32640,
3280530,3202015,34905,
4038135,3918259,59408,
2477262,2405787,33057,
3348880,3269296,35849,
2545023,2477060,31686,
6301238,6149709,68050,
4385247,4258601,56625,
4120665,4002928,50566,
2656277,2565895,40507,
3574813,3472385,50872,
3286386,3202256,42465,
2915727,2833926,34901,
3874633,3788657,36624,
2509711,2447458,28376,
6484264,6419778,28660,
2427314,2350548,36967,
2509526,2439389,32572,
4189008,4090225,45067,
2528382,2458653,32973,
6715166,6527391,72400,
4311957,4178839,62904,
2833339,2743776,41563,
3361981,3262581,42014,
4087578,3970279,48862,
7017248,6848339,74934,
2595409,2513039,39360,
3541655,3460520,37093,
2363002,2297399,29737,
2450388,2385528,28297,
2758753,2693626,29162,
2962962,2876290,42392,
5547086,5376101,72698,
3716033,3614560,47080,
3218180,3127073,43732,
4380151,4260406,51181,
4059006,3931765,52171,
2579909,2513889,31375,
4040822,3927042,48346,
5186916,5042521,60907,
4404404,4278412,51720,
3280986,3173484,57660,
3101277,3018922,37338,
2881560,2809104,33529,
2317817,2251118,30176,
2592144,2517581,33432,
2856712,2783635,33579,
2439932,2367204,33944,
2701098,2626630,33881,
2427477,2357811,33672,
8228014,8025997,87007,
3998194,3884701,48152,
4724229,4609410,48334,
4007530,3906246,43398,
4412082,4291259,51872,
2799885,2721528,33036,
3030532,2958397,31318,
2855149,2784679,33263,
2751448,2668923,39617,
3540486,3457341,33738,
2502711,2428363,29684,
2899655,2815099,40115,
2335522,2267437,31130,
2537506,2469702,31708,
2282242,2213036,33204,
2818920,2742660,33283,
4373585,4251669,58874,
12783689,12615540,70675,
5021815,4888660,57875,
4550569,4434816,53278,
6155139,5959778,81010,
2508726,2432262,35169,
2613769,2549194,27601,
3351333,3269993,35930,
3214173,3129063,38316,
2668740,2590399,36708,
2683204,2608946,34890,
3601573,3510735,44209,
6538367,6361118,79980,
2766436,2692043,34961,
4058943,3948986,48226,
3250355,3148642,44042,
4766450,4640009,60477,
5138863,4995762,69264,
5359307,5208830,68839,
3902348,3787471,49735,
2555486,2487903,30531,
5374761,5247438,53664,
2818527,2746887,30858,
2519362,2455951,28153,
2303332,2232794,33920,
2901598,2833441,30168,
3123251,3035081,40679,
2241446,2177231,28776,
2515358,2443699,29099,
7483115,7408229,32886,
3144905,3064801,34317,
4080548,3984579,41456,
4356648,4233009,52658,
4093767,3977488,50867,
2579344,2507789,34888,
2804626,2737902,31297,
3561376,3490946,31886,
3932435,3837411,44498,
4215855,4107416,51489,
3457218,3372289,39703,
2556599,2486768,34472,
2214007,2149190,29391,
3899540,3801939,46093,
2967017,2891284,31767,
2247589,2181725,31016,
2753879,2684828,31893,
2331585,2266699,30386,
3054331,2980173,33847,
4443502,4329097,52232,
6093049,6009670,43292,
2491499,2425907,30572,
